job_size,business_segment,job_segment,want_short,context_when,want_result,so_that,importance,satisfaction,gap,fitbase_value,previous_solution_problems,drivers,barriers,lpr_quote,interview_label,business_profile,lpr_profile,notes,id
Small,S5,J1,Управлять пиковыми нагрузками и бронированием времени посещения,Когда в часы пик много клиентов и нужно избежать перегрузки зала,"Хочу, чтобы клиенты бронировали слоты, чтобы не было больше 7 человек одновременно",Чтобы обеспечить комфорт и безопасность посещения,Важно для поддержания качества сервиса и безопасности,,,"Возможность бронирования слотов, ограничение количества посетителей",Отсутствие интеграции между CRM и системой контроля мешает точному учету,Возможность настройки обязательного бронирования на часы пик,"Текущая интеграция не работает, данные некорректны","«У меня есть рекомендательное правило, 7 слотов, чтобы не больше 7 человек занималось.» (15:14)","Speaker A — зал без персонала (расширенный, 8 джобов)","Тип бизнеса: Фитнес-клуб с автономной системой доступа, небольшой зал (~100 кв.м), клиентская база до 300 человек, с персональными тренерами и мобильным приложением для управления. | Особенности бизнеса: Автономный фитнес-клуб с мобильным приложением для продажи абонементов и доступа в зал. Использование CRM и системы контроля доступа (Сигур). Персональные тренеры работают по процентной схеме через приложение. Клиенты самостоятельно покупают абонементы и посещают зал без звонков и прямого контакта. Есть проблемы с интеграцией CRM и системы контроля доступа. Планируется масштабирование с новым залом и альтернативными решениями.","Speaker A — владелец и управляющий фитнес-клубом, единственный менеджер, не тренер, но с опытом фитнес-тренера.",,J111
Small,S5,J1,Обеспечить масштабирование бизнеса с новым залом и альтернативными решениями контроля доступа,Когда я запускаю новый зал и хочу использовать более дешевое и удобное оборудование,Хочу попробовать интеграцию с домофоном вместо Сигур,Чтобы снизить затраты и упростить управление доступом,Важно для экономии и удобства при расширении,,,"Интеграция с домофоном, управление доступом через мобильное приложение","Сигур дорогостоящий, интеграция сложная","Новое решение дешевле (12 тыс. руб.), удобнее, управление через приложение",Возможные технические риски при переходе,"«Я планирую запуск еще одного зала, и там я попробую не с Сигуром поработать, а с кем-то другим.» (2:38)","Speaker A — зал без персонала (расширенный, 8 джобов)","Тип бизнеса: Фитнес-клуб с автономной системой доступа, небольшой зал (~100 кв.м), клиентская база до 300 человек, с персональными тренерами и мобильным приложением для управления. | Особенности бизнеса: Автономный фитнес-клуб с мобильным приложением для продажи абонементов и доступа в зал. Использование CRM и системы контроля доступа (Сигур). Персональные тренеры работают по процентной схеме через приложение. Клиенты самостоятельно покупают абонементы и посещают зал без звонков и прямого контакта. Есть проблемы с интеграцией CRM и системы контроля доступа. Планируется масштабирование с новым залом и альтернативными решениями.","Speaker A — владелец и управляющий фитнес-клубом, единственный менеджер, не тренер, но с опытом фитнес-тренера.",,J112
Small,S5,J1,Обеспечить юридическую защиту и ответственность при продаже абонементов,Когда я продаю абонементы и хочу снять с себя ответственность за нарушения,"Хочу, чтобы клиенты принимали публичную оферту и правила посещения",Чтобы избежать юридических проблем и споров,Важно для защиты бизнеса,,,Юридически подготовленные документы и публичная оферта,Нет необходимости в дополнительной верификации паспортных данных,"Использование публичной оферты, минимизация неудобств для клиентов","Нет барьеров, система устраивает","«Публичная оферта, правила посещения, галочка — снимает ответственность с владельцев.» (29:56)","Speaker A — зал без персонала (расширенный, 8 джобов)","Тип бизнеса: Фитнес-клуб с автономной системой доступа, небольшой зал (~100 кв.м), клиентская база до 300 человек, с персональными тренерами и мобильным приложением для управления. | Особенности бизнеса: Автономный фитнес-клуб с мобильным приложением для продажи абонементов и доступа в зал. Использование CRM и системы контроля доступа (Сигур). Персональные тренеры работают по процентной схеме через приложение. Клиенты самостоятельно покупают абонементы и посещают зал без звонков и прямого контакта. Есть проблемы с интеграцией CRM и системы контроля доступа. Планируется масштабирование с новым залом и альтернативными решениями.","Speaker A — владелец и управляющий фитнес-клубом, единственный менеджер, не тренер, но с опытом фитнес-тренера.",,J113
Big,,,"Управлять студией так, чтобы процессы были централизованы, прозрачны и под контролем","Когда студия растёт, клиентов становится много, Excel и чаты создают хаос",Получить единую систему управления,"Чтобы снизить ручной труд, видеть всю картину и быть уверенным в контроле",Очень важно,,,Централизованное управление в одном окне (CRM + расписание + абонементы + финансы),"Excel, тетрадки, разрозненные чаты","Поиск CRM, рекомендации коллег","Цена, миграция базы",,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х5 | УТП: Fitbase = CRM, расписание, касса и рассылки в одном окне. Вы управляете студией легко и чувствуете уверенность, что бизнес под контролем.",J114
Big,,,Увеличивать прибыль и удерживать клиентов за счет автоматизации процессов,"Когда растёт база клиентов, но падает возвратность",Автоматизировать маркетинг и напоминания,Чтобы клиенты возвращались и тратили больше,Очень важно,,,"Автоматические рассылки, напоминания, бонусы","Ручные обзвоны, низкий повтор","Автоматизация, retention-маркетинг","Лимиты по рассылкам, страх спама",,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х4 | УТП: Fitbase = автоматические триггеры и бонусы. Клиенты сами возвращаются, а вы экономите часы ручной работы и видите рост прибыли.",J115
Big,,,Сохранять удобство для клиентов и повышать их лояльность,Когда клиенты жалуются на неудобную запись или отсутствие приложения,Дать удобные инструменты записи и оплаты,Чтобы не терять клиентов и конкурировать,Очень важно,,,"Мобильное приложение, онлайн-запись","Ручная запись, звонки, Google-календари",Наличие приложения,Привычка клиентов к WhatsApp,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х3 | УТП: Fitbase = приложение и онлайн-запись 24/7. Клиенту удобно, а вы чувствуете гордость, что сервис студии на уровне лидеров.",J116
Big,,,Нанимать и контролировать работу правильных сотрудников,Когда появляются админы и тренеры,Установить процессы и разграничить доступы,Чтобы не терять данные и снизить хаос,Важно,,,Роли и контроль,В Excel все всё видят,CRM с ролями,Непривычность сотрудников к CRM,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х2 | УТП: Fitbase = роли и доступы. Данные защищены, каждый видит только своё. Вы спокойны за безопасность и уверены в команде.",J117
Big,,,Контролировать финансы и продажи,Когда нужно планировать и расти,"Видеть выручку, задолженности, эффективность",Чтобы управлять ростом бизнеса,Важно,,,"BI-отчёты, финансы","Excel и ручные подсчёты, ошибки",Желание «видеть цифры»,Сложность аналитики,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,Частотность: х2 | УТП: Fitbase = дашборды и финансы в CRM. Вы видите план-факт и чувствуете контроль над выручкой и продажами.,J118
Big,,,Запустить студию «с нуля» с готовыми процессами,Когда студия только открывается,Быстро встать на рельсы с системой,Чтобы избежать хаоса и стартовать эффективно,Очень важно,,,Полный набор CRM-инструментов с Day 1,"Ручные процессы, Google-таблицы",Fitbase «под ключ»,Стоимость старта,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х2 | УТП: Fitbase = готовая CRM для открытия. Вы стартуете быстро, чувствуете уверенность и не теряете клиентов с первого дня.",J119
Middle,,,Вести учёт клиентской базы (активные и архивные),Когда база растёт и клиентов много,"Иметь полную историю оплат, посещений и абонементов",Чтобы видеть актуальный статус клиента и работать с retention,Очень важно,,,"CRM-карточки, архив","Excel, дубли, потеря данных",Централизация,"Объем базы, перенос",,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,Частотность: х6 | УТП: Fitbase = вся история клиента в одном месте. Вы быстро находите данные и чувствуете порядок вместо хаоса.,J120
Middle,,,Управлять расписанием занятий (групповые и индивидуальные),"Когда тренеры ведут параллельно группы, а клиенты часто путаются","Создавать, копировать, ограничивать запись",Чтобы загрузка тренеров была оптимальной и клиенты довольны,Очень важно,,,Расписание с копированием и листом ожидания,"Google-календари, ручные записи","Удобство, автоматизация",Инд. записи сложнее автоматизировать,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х5 | УТП: Fitbase = гибкое расписание и лист ожидания. Вы экономите часы труда и уверены, что тренеры и залы загружены правильно.",J121
Middle,,,Контролировать продажи и выручку,Когда нужен прозрачный учёт доходов,"Видеть план-факт, задолженности, тренды",Чтобы управлять ростом и принимать решения,Высокая,,,BI-отчёты,"Excel, ошибки","Цифры, аналитика",Сложность в понимании метрик,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,Частотность: х4 | УТП: Fitbase = финансы и BI в одном месте. Вы чувствуете контроль над бизнесом и уверенность в планировании.,J122
Middle,,,Удерживать клиентов через коммуникации и рассылки,"Когда нужно напомнить о записи, дне рождения, акции",Массовые и автоматические сообщения,Чтобы повысить retention и LTV,Высокая,,,"SMS, WhatsApp, push","Ручные рассылки, WhatsApp copy-paste","Автоматизация, CRM",Лимиты рассылок,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х4 | УТП: Fitbase = триггеры и рассылки. Клиенты возвращаются сами, а вы чувствуете, что retention работает «на автопилоте».",J123
Middle,,,"Интегрировать каналы коммуникации (звонки, WhatsApp, соцсети)",Когда сообщения и звонки теряются,Все каналы в одном окне CRM,Чтобы ничего не терялось и клиенты были довольны,Очень важно,,,"Интеграции с WhatsApp, телефонией, чатами",Разрозненные мессенджеры,Централизация,Ограничения Telegram,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х3 | УТП: Fitbase = все чаты и звонки в CRM. Вы быстро отвечаете и чувствуете спокойствие, что коммуникации под контролем.",J124
Middle,,,"Управлять бонусами, промокодами и сертификатами",Когда нужны маркетинговые инструменты для удержания,"Начислять баллы, выдавать промо и сертификаты",Чтобы стимулировать клиентов к покупкам,Средняя,,,Бонусная система,Нет автоматизации,"Маркетинг, продажи",Мало опыта использования,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х2 | УТП: Fitbase = бонусы и промокоды. Вы легко запускаете акции и чувствуете, что клиенты становятся более лояльными.",J125
Middle,,,Контролировать посещаемость и списания,Когда нужно учитывать реально проведённые занятия,Автоматически списывать по факту,Чтобы не было ошибок и спорных ситуаций,Высокая,,,"QR, отметка в приложении",Забывчивость админов,Прозрачность,Нужно оборудование,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,Частотность: х3 | УТП: Fitbase = учёт посещений через QR и приложение. Вы уверены в корректности списаний и чувствуете прозрачность мотивации тренеров.,J126
Middle,,,Настраивать правила отмены занятий,Когда клиенты отменяют в последний момент,Гибко задать политику отмен,Чтобы не терять деньги и снижать конфликты,Средняя,,,Настройка политики отмен,Нет автоматизации,Баланс интересов,Сложность настройки,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,Частотность: х2 | УТП: Fitbase = гибкие отмены. Вы снижаете конфликты и чувствуете справедливость между клиентами и тренерами.,J127
Middle,,,Управлять доступами и ролями сотрудников,Когда появляются тренеры и администраторы,"Разграничить, кто что видит",Чтобы защитить данные и упростить интерфейс,Средняя,,,Настройки ролей,Все видят всё в Excel,Защита данных,Нет гибкой кастомизации,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х2 | УТП: Fitbase = роли и доступы. Вы спокойны, что данные защищены, и уверены, что каждый работает в своём поле.",J128
Middle,,,Мотивировать тренеров через оплату по факту,Когда тренеры жалуются на отмены,Рассчитывать зарплату по реально проведённым занятиям,Чтобы справедливо оплачивать труд,Средняя-высокая,,,Расчёт по посещениям,Оплата по брони → обиды,Справедливость,Нужны правила внутри клуба,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х2 | УТП: Fitbase = зарплата по факту. Тренеры довольны, вы чувствуете справедливость и мотивацию в команде.",J129
Small,,,Настраивать уведомления и триггеры,Когда клиенты забывают про запись или оплату,Автоматические напоминания,Чтобы снизить no-show и рутину админа,Высокая,,,"Триггеры, push, WhatsApp",Ручные сообщения,Автоматизация,Лимиты рассылок,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х5 | УТП: Fitbase = триггеры и push. Система напоминает за вас, вы чувствуете облегчение и экономите часы рутины.",J130
Small,,,Отмечать посещения клиентов,Когда администраторы забывают отмечать,Учитывать посещения через QR или карту,Чтобы корректно списывать занятия и мотивировать тренеров,Высокая,,,"QR-коды, карты, отметки в приложении","Забывчивость админов, ошибки",Прозрачность,Нужно оборудование,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,Частотность: х4 | УТП: Fitbase = учёт посещений через QR и приложение. Вы уверены в корректности списаний и чувствуете прозрачность процессов.,J131
Small,,,Загружать и вести абонементы,Когда клиенты покупают абонементы,Видеть остатки и статус,Чтобы не запутаться и держать под контролем,Высокая,,,Абонементы в CRM,"Excel, пересчёт вручную","Удобство, автоматизация",Перенос данных,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х3 | УТП: Fitbase = абонементы в CRM. Вы моментально видите остатки и чувствуете, что база под контролем.",J132
Small,,,Проверять оплату и возвраты,Когда клиент оплатил/вернул,Фиксировать в CRM,Чтобы финансы были прозрачны,Средняя,,,"Учёт оплат, интеграция кассы","Excel, кассовые ошибки",Автоматизация,Интеграции с кассой,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х3 | УТП: Fitbase = учёт оплат. Финансы прозрачны, вы чувствуете уверенность в доходах студии.",J133
Small,,,Вести переписку с клиентами в одном окне,Когда клиенты пишут в разные каналы,Чат-центр,Чтобы ничего не терялось,Средняя,,,"Интеграция WhatsApp, Telegram",Разрозненные чаты,Централизация,Ограничения Telegram,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х2 | УТП: Fitbase = все чаты в CRM. Вы быстро отвечаете и чувствуете спокойствие, что коммуникации под контролем.",J134
Small,,,Делать отчёты по продажам и посещаемости,Когда нужен анализ,Отчёты и BI,Чтобы принимать решения,Высокая,,,BI-отчёты,"Excel, нет аналитики",Цифры,Сложность метрик,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,Частотность: х2 | УТП: Fitbase = отчёты и BI. Вы принимаете решения на цифрах и чувствуете уверенность в стратегии.,J135
Small,,,Копировать расписание на долгий срок,Когда нужно планировать на месяцы,Копировать разом,Чтобы не тратить время еженедельно,Средняя,,,Копирование расписаний,Google-календарь — ручное,Удобство,Нет,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,Частотность: х2 | УТП: Fitbase = копирование расписаний. Вы экономите часы и чувствуете облегчение в планировании.,J136
Small,,,Создавать задачи для администраторов,Когда нужно организовать обзвоны или работу,Постановка задач в CRM,Чтобы контролировать исполнение,Средняя,,,Задачи в системе,Контроль на словах,Удобство,Дисциплина сотрудников,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х2 | УТП: Fitbase = задачи в CRM. Работа админов прозрачна, вы чувствуете спокойствие и порядок.",J137
Small,,,Фильтровать клиентов для рассылок,Когда нужна сегментация,"Фильтры по возрасту, полу и статусу",Чтобы персонализировать коммуникации,Средняя,,,Фильтры в CRM,"Excel, ручной поиск",Точность маркетинга,Нет,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,Частотность: х2 | УТП: Fitbase = сегментация базы. Вы делаете точные рассылки и чувствуете эффективность маркетинга.,J138
Small,,,Настраивать бонусы вручную,Когда нужны акции,Быстро выдавать бонусы,Чтобы стимулировать клиентов,Средняя,,,Бонусы и промокоды,Нет автоматизации,Маркетинг,Не все клиенты активны,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х1 | УТП: Fitbase = бонусы в пару кликов. Акция запускается легко, вы чувствуете, что стимулируете клиентов без усилий.",J139
Small,,,Брендировать приложение под студию,Когда хочется персонализации,"Цвета, логотип",Чтобы укреплять бренд,Средняя,,,White-label приложение,Нет своего приложения,Имидж,Стоимость кастомизации,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х1 | УТП: Fitbase = брендированное приложение. Ваш клуб выглядит премиально, вы чувствуете гордость за сервис.",J140
Small,,,Выдавать сертификаты,Когда клиенты хотят подарить абонемент,Электронные сертификаты,Чтобы увеличить продажи,Средняя,,,Сертификаты в CRM,Нет инструмента,Доп. продажи,Нет,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,Частотность: х1 | УТП: Fitbase = e-сертификаты. Вы легко запускаете подарки и чувствуете удовлетворение от роста выручки.,J141
Small,,,Подключать IP-телефонию,Когда звонков много,Автоматический учёт звонков,Чтобы не терять клиентов,Средняя,,,Интеграция телефонии,Пропущенные звонки терялись,Централизация,Стоимость подключения,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х1 | УТП: Fitbase = телефония в CRM. Все звонки на виду, вы чувствуете уверенность, что клиенты не теряются.",J142
Big,S1,J2,"Управлять студией как системным бизнесом, а не как «ремесленник», чтобы получать доход без личного участия в операционке и тренировках",,,,,,,,,,,,"Каталина Алексеева — пилатес/реабилитация, Гатчина (эталон AJTBD)",,,,J143
Middle,S1,J2,Контролировать реальную прибыль (Реализация vs Касса),Видеть дебиторку и не тратить «чужие» деньги (авансы за абонементы).,,,,,,,,,,,"Каталина Алексеева — пилатес/реабилитация, Гатчина",,,,J144
Middle,S1,J2,Автоматизировать расчет сложной зарплаты,"Считать KPI (посещаемость, видео-отзывы, количество тренировок) без ручной сверки в Excel по 30-60 минут.",,,,,,,,,,,"Каталина Алексеева — пилатес/реабилитация, Гатчина",,,,J145
Middle,S1,J2,Управлять удержанием и оттоком,"Видеть, кто перестал ходить, и возвращать их, а не только надеяться на «сарафанку» и новых клиентов.",,,,,,,,,,,"Каталина Алексеева — пилатес/реабилитация, Гатчина",,,,J146
Middle,S1,J2,Делегировать продажи и сервис,"Нанять админов/менеджеров так, чтобы они работали по скриптам и возвращали клиентов, а не просто «открывали дверь».",,,,,,,,,,,"Каталина Алексеева — пилатес/реабилитация, Гатчина",,,,J147
Middle,S1,J2,Защитить базу и интеллектуальную собственность,"Чтобы тренеры не уводили клиентов в свои «хрущевки» (подписание NDA, ограничение доступа к базе).",,,,,,,,,,,"Каталина Алексеева — пилатес/реабилитация, Гатчина",,,,J148
Small,S1,J2,Видеть остатки по абонементам в моменте,,,,,,,,,,,,"Каталина Алексеева — пилатес/реабилитация, Гатчина",,,,J149
Small,S1,J2,Связать аккаунты родителя и ребенка (общий счет),,,,,,,,,,,,"Каталина Алексеева — пилатес/реабилитация, Гатчина",,,,J150
Small,S1,J2,Подписывать договоры через СМС (уйти от бумаги),,,,,,,,,,,,"Каталина Алексеева — пилатес/реабилитация, Гатчина",,,,J151
Small,S1,J2,Видеть рейтинг тренеров по посещаемости групп,,,,,,,,,,,,"Каталина Алексеева — пилатес/реабилитация, Гатчина",,,,J152
Small,S1,J2,Не перепроверять за программой расчет зарплаты (уйти от багов YClients),,,,,,,,,,,,"Каталина Алексеева — пилатес/реабилитация, Гатчина",,,,J153
Big,S6,J4,Управлять бизнесом падл-клуба с эффективной системой бронирования и учёта,"запуск падл-клуба, опыт работы в теннисе, хочет развивать детские/групповые тренировки, турниры, персоналки","систему, которая объединит учёт аренды кортов, тренеров, клиентов, оплат и коммуникаций","бизнес работал без хаоса, с прозрачной статистикой, удобством для клиентов и тренеров, и я мог принимать управленческие решения",,,,"мощная CRM + учётная система с интеграциями, мобильными приложениями, автоматизацией и аналитикой",,,"возможные сложности с интеграцией с Мегафоном, необходимость обучения персонала","Я теннисист. Я 10 лет проработал директором спортивной школы теннисной, поэтому я в теннисе",Денис — падл-клуб (старт),,,,J154
Middle,S6,J4,Организовать и вести учёт бронирования кортов и тренировок,"клиенты хотят бронировать корты и тренировки, тренеры должны видеть расписание и клиентов","бронирование с онлайн-оплатой, видны свободные слоты и тренеры","клиенты и тренеры записывались быстро и без ошибок, я видел загрузку и выручку",,,,"виджеты для сайта и соцсетей, мобильное приложение с гибкой настройкой интерфейса",,,нужно обучить тренеров и админов,"Когда я как клиент открываю в приложении тренера и записаться на персональную тренировку — я вижу именно те слоты, которые этот тренер сам проставил в своём расписании",Денис — падл-клуб (старт),,,,J155
Middle,S6,J4,Вести клиентскую базу и коммуникации,"клиенты пишут в соцсетях или звонят, тренеры/админы должны быстро реагировать","все коммуникации в одном месте, история, возможность писать клиентам","не терять клиентов, быстро отвечать, вести персонализированную работу",,,,"интеграция с Instagram, ВКонтакте, WhatsApp, Telegram, встроенный мессенджер",,,,"У нас прямые интеграции с Инстаграм, ВКонтакте, Ватсап, Телеграм, Макс — все",Денис — падл-клуб (старт),,,,J156
Small,S6,J4,"Автоматизировать задачи для тренеров (напоминания, ДР, контроль блоков тренировок)",,,,,,,,,,,"«Можно поставить автоматическую задачу — при окончании блока у клиента прилетала ""Настя, у Дениса закончился блок тренировок, напомни""» (22:46)",Денис — падл-клуб (старт),,,,J157
Small,S6,J4,Управлять отзывами клиентов о тренерах (модерация),,,,,,,,,,,"«Отзывы находятся у вас на модерации — поэтому все отзывы сначала поступают к вам, а потом уже вы выбираете оставлять или нет» (18:36)",Денис — падл-клуб (старт),,,,J158
Small,S6,J4,"Вести учёт продаж и оплат (членства, подарочные сертификаты)",,,,,,,,,,,"«В моём счёте я буду видеть все транзакции, которые когда-либо были» (12:30)",Денис — падл-клуб (старт),,,,J159
Small,S6,J4,Интегрировать систему с 1С бухгалтерией,,,,,,,,,,,"«Тут как бы зависит от того, что вы хотите оттуда тянуть... обычно это кастомные отчёты, делают через импорт-экспорт» (30:03)",Денис — падл-клуб (старт),,,,J160
Small,S6,J4,"Получать управленческие отчёты по загрузке кортов, выручке, тренерам",,,,,,,,,,,"«Мы создаём кастомную историю. Вы ему заказываете всё, что хотите, как угодно» (31:07)",Денис — падл-клуб (старт),,,,J161
Small,S6,J4,Настраивать мобильное приложение под бренд клуба,,,,,,,,,,,"«В мобильном приложении вы делаете всё, что хотите: цвета меняете, интерфейс меняете, переставляете» (10:39)",Денис — падл-клуб (старт),,,,J162
Small,S6,J4,Удобный чекин клиентов через QR на планшете,,,,,,,,,,,"«Покупаете самый дешёвый планшет, прибиваете на рецепцию... клиент подносит QR-код, система его приветствует» (52:21)",Денис — падл-клуб (старт),,,,J163
Big,S1,J1,"Выйти из франшизы с минимальным операционным риском и перенастроить весь стек учёта, мобильного приложения и коммуникаций на свою юр.лицо.","Решение принято, идёт большая работа по выходу. Несезон (лето) — некритично прямо сейчас, но нужно к осени.","Получить CRM + мобайл + расписание + рассылки **в одном пакете, на своём бренде**, без зависимости от франшизы.","Сохранить клиентскую базу, не потерять выручку, плавно перейти на свою операционку.",,,,,,,,,Анастасия (Пермь) — выход из франшизы (1С+Mobi),,,,J164
Middle,S1,J1,Получить полный пакет учёта + мобайла + мессенджеров в одной системе,раньше всё было «по франшизе» в чужой 1С + чужом Mobifitness. Теперь надо своё.,"Один тариф = вся функциональность. Не покупать CRM, мобайл, эквайринг отдельно.",,высокая,"средняя — функционал работал, но не своё",,,мобайл на чужих аккаунтах Apple/Google → теряет данные при отвязке,"всё в одном тарифе (Standard или PRO), бесплатный перенос базы из 1С","надо самой регистрироваться в Apple/Google, $100/год за Apple + $25 единоразово за Google",,Анастасия (Пермь) — выход из франшизы (1С+Mobi),,,,J165
Middle,S1,J1,Брендированное мобильное приложение под свою новую марку,"выходит из франшизы, нужен новый бренд + приложение в сторах","Приложение за 2-3 недели с моим логотипом, цветами",,,"«было у нас, можно ещё раз посмотреть, возможно интерфейс поменялся» — нейтральная",,,"приложение Mobifitness было на их аккаунтах, при отвязке надо переделывать","Fitbase делает за 2-3 недели, бесплатно при Standard/PRO, помогает с регистрацией в сторах","регистрация Apple ID с её юр.лицом (выход из франшизы → возможны нюансы), товарный знак не оформлен",,Анастасия (Пермь) — выход из франшизы (1С+Mobi),,,,J166
Middle,S1,J1,Понять реальный TCO с учётом всех доплат,надо рассчитать бюджет на новую жизнь после франшизы,"Прозрачную сравнительную таблицу «что входит, что доплата»",,,,,,,скидка 10% после демо в течение 3 дней; возможность апгрейда тарифа с пересчётом доплаты,«186 400 — очень дорого» (изначальная реакция на цену тарифа PRO),,Анастасия (Пермь) — выход из франшизы (1С+Mobi),,,,J167
Middle,S1,J1,Получить интеграции с мессенджерами без отдельной оплаты,"в 1С+Mobi мессенджеры через бот, неудобно","WhatsApp, Telegram, ВК, MAX в одном окне",,,,,,,Fitbase-чат — все мессенджеры бесплатно входят в тариф,,,Анастасия (Пермь) — выход из франшизы (1С+Mobi),,,,J168
Middle,S1,J1,Понять реальный риск переноса базы,большая клиентская база из 1С под франшизой,минимально потерять данные при переходе,,,,,,,"Fitbase переносит сам из 1С за 2-3 недели, бесплатно, выборочная проверка по клиентам",,,Анастасия (Пермь) — выход из франшизы (1С+Mobi),,,,J169
Small,S1,J1,"Подписание договоров по SMS (юридически значимо) — есть, важно для Анастасии",,,,,,,,,,,,Анастасия (Пермь) — выход из франшизы (1С+Mobi),,,,J170
